Name,carboxy,carboxylate,hydroxy,ether,ester,ketone,epoxy,amide,cyano,amine,ammonium,phenyl,methyl,methylene,methyne,quat_carbon,vinyl,asetylene,siloxane,Feature1,Feature2,Feature3,Feature4,Feature5,Test1,Test2,Test3
brend1,0.0,0.0,69.15469906180125,0.0,878.2081065750109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1687.2615140882206,138.3093981236025,0.0,0.0,878.2081065750109,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,,
brend10,0.0,0.0,345.77349530900625,0.0,795.2476105941228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1244.721725879239,691.5469906180125,0.0,0.0,795.2476105941228,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,,
brend2,0.0,0.0,138.3093981236025,0.0,857.467982579789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1576.6265670359753,276.618796247205,0.0,0.0,857.467982579789,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,,
brend3,0.0,0.0,207.46409718540374,0.0,836.7278585845668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1465.9916199837298,414.9281943708075,0.0,0.0,836.7278585845668,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,,
brend4,0.0,0.0,276.618796247205,0.0,815.9877345893449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1355.3566729314846,553.23759249441,0.0,0.0,815.9877345893449,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,,
brend5,0.0,0.0,345.77349530900625,0.0,795.2476105941228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1244.721725879239,691.5469906180125,0.0,0.0,795.2476105941228,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,,
brend6,0.0,0.0,69.15469906180125,0.0,878.2081065750109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1687.2615140882206,138.3093981236025,0.0,0.0,878.2081065750109,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,,
brend7,0.0,0.0,138.3093981236025,0.0,857.467982579789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1576.6265670359753,276.618796247205,0.0,0.0,857.467982579789,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,,
brend8,0.0,0.0,207.46409718540374,0.0,836.7278585845668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1465.9916199837298,414.9281943708075,0.0,0.0,836.7278585845668,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,,
brend9,0.0,0.0,276.618796247205,0.0,815.9877345893449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1355.3566729314846,553.23759249441,0.0,0.0,815.9877345893449,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,,
